Natural Language,Ground Truth,Atomic Proposition
in the future either BCvhJKIrIMR or oPRdHoK_HHIJ after either MMaUFjlcelGyQb or lplxxUFXUdbIkI,G(( MMaUFjlcelGyQb | lplxxUFXUdbIkI ) -> F( BCvhJKIrIMR | oPRdHoK_HHIJ )),{BCvhJKIrIMR MMaUFjlcelGyQb lplxxUFXUdbIkI oPRdHoK_HHIJ}
in any case the engine breaks and together a table is brown and the escalator is blocked,G( engine_breaks & table_is_brown & escalator_is_blocked ),{engine_breaks escalator_is_blocked table_is_brown}
always when tWoRQ then at a certain moment HNWdkXyEccYSS,G(( tWoRQ ) -> F( HNWdkXyEccYSS )),{HNWdkXyEccYSS tWoRQ}
"every time either the car stops, the bar is up or a train stops",G( car_stops | bar_is_up | train_stops ),{bar_is_up car_stops train_stops}
"forever, the bar is down and together the bar is up and the table has been moved",G( bar_is_down & bar_is_up & table_has_been_moved ),{bar_is_down bar_is_up table_has_been_moved}
every time both the escalator is blocked and the escalator moves then in the future the motorbike has stopped or a house is built,G(( escalator_is_blocked & escalator_moves ) -> F( motorbike_has_stopped | house_is_built )),{escalator_is_blocked escalator_moves house_is_built motorbike_has_stopped}
"it never happens that the manager handles requests, the elevator is blocked and the motorbike has stopped",G(!( manager_handles_requests & elevator_is_blocked & motorbike_has_stopped )),{elevator_is_blocked manager_handles_requests motorbike_has_stopped}
"the motorbike catches fire and, as a consequence, it is going to happen that a semaphore is green after the escalator moves",G(( motorbike_catches_fire ) -> G(( escalator_moves ) -> F( semaphore_is_green ))),{escalator_moves motorbike_catches_fire semaphore_is_green}
"eternally, either a bridge opens, the sensor captures data or the escalator is blocked",G( bridge_opens | sensor_captures_data | escalator_is_blocked ),{bridge_opens escalator_is_blocked sensor_captures_data}
it is never the case that a bridge opens and together the brake is pressed and the elevator falls,G(!( bridge_opens & brake_is_pressed & elevator_falls )),{brake_is_pressed bridge_opens elevator_falls}
"eventually, a sensor captures data and a sensor gathers information and, in the future the elevator falls or the brake is pressed afterwards",G(!( sensor_captures_data & sensor_gathers_information )) | F(( sensor_captures_data & sensor_gathers_information ) & F( elevator_falls | brake_is_pressed )),{brake_is_pressed elevator_falls sensor_captures_data sensor_gathers_information}
"after a sensor retrieves data or a bridge closes, finally, the brake is released or the house collapses",G(( sensor_retrieves_data | bridge_closes ) -> F( brake_is_released | house_collapses )),{brake_is_released bridge_closes house_collapses sensor_retrieves_data}
"as an elevator falls or the house is open, eventually, a motorbike is driven and a sensor captures data",G(( elevator_falls | house_is_open ) -> F( motorbike_is_driven & sensor_captures_data )),{elevator_falls house_is_open motorbike_is_driven sensor_captures_data}
"at any time the train derails, the brake is released and a motorbike is driven",G( train_derails & brake_is_released & motorbike_is_driven ),{brake_is_released motorbike_is_driven train_derails}
"as both the escalator is blocked and a semaphore is red, in the future either the brake is released or the house collapses",G(( escalator_is_blocked & semaphore_is_red ) -> F( brake_is_released | house_collapses )),{brake_is_released escalator_is_blocked house_collapses semaphore_is_red}
"if a motorbike catches fire and a semaphore is red then eventually, the bar is up and a motorbike has started",G(( motorbike_catches_fire & semaphore_is_red ) -> F( bar_is_up & motorbike_has_started )),{bar_is_up motorbike_catches_fire motorbike_has_started semaphore_is_red}
"at any time either the motorbike catches fire, a semaphore is green or the constructor creates instances",G( motorbike_catches_fire | semaphore_is_green | constructor_creates_instances ),{constructor_creates_instances motorbike_catches_fire semaphore_is_green}
"the table has been moved involves that after a bridge closes, it will happen that the motorbike has stopped",G(( table_has_been_moved ) -> G(( bridge_closes ) -> F( motorbike_has_stopped ))),{bridge_closes motorbike_has_stopped table_has_been_moved}
each time a constructor instantiate objects then always when a table has been moved then at some point in time the car enters,G(( constructor_instantiate_objects ) -> G(( table_has_been_moved ) -> F( car_enters ))),{car_enters constructor_instantiate_objects table_has_been_moved}
whenever either the brake is released or the table is old then at some point a train is crossing and a semaphore is yellow,G(( brake_is_released | table_is_old ) -> F( train_is_crossing & semaphore_is_yellow )),{brake_is_released semaphore_is_yellow table_is_old train_is_crossing}
it is always true that AwSWBskOZnGT,G( AwSWBskOZnGT ),{AwSWBskOZnGT}
always when both igAPHU and Vg_yguFK then in the future both rGlLkmTjKIui and AFDnMeVudIrb,G(( igAPHU & Vg_yguFK ) -> F( rGlLkmTjKIui & AFDnMeVudIrb )),{AFDnMeVudIrb Vg_yguFK igAPHU rGlLkmTjKIui}
if both the brake is pressed and the escalator moves then at some point both the train has been launched and a train stops,G(( brake_is_pressed & escalator_moves ) -> F( train_has_been_launched & train_stops )),{brake_is_pressed escalator_moves train_has_been_launched train_stops}
whenever the escalator is blocked and the semaphore is red then at some point in time both the car enters and the car starts,G(( escalator_is_blocked & semaphore_is_red ) -> F( car_enters & car_starts )),{car_enters car_starts escalator_is_blocked semaphore_is_red}
"as both a bridge opens and the bridge closes, eventually, the engine stops and a sensor retrieves data",G(( bridge_opens & bridge_closes ) -> F( engine_stops & sensor_retrieves_data )),{bridge_closes bridge_opens engine_stops sensor_retrieves_data}
"every time a motorbike has stopped and, at the same time, the semaphore is red and a car stops",G( motorbike_has_stopped & semaphore_is_red & car_stops ),{car_stops motorbike_has_stopped semaphore_is_red}
in any case either SFuqJUnuyehNrYJ or cyqNn,G( SFuqJUnuyehNrYJ | cyqNn ),{SFuqJUnuyehNrYJ cyqNn}
it is never the case that cMvdauMedHhvU,G(!( cMvdauMedHhvU )),{cMvdauMedHhvU}
"it is always true that either the escalator moves, the bridge closes or the bar is down",G( escalator_moves | bridge_closes | bar_is_down ),{bar_is_down bridge_closes escalator_moves}
all the time the escalator moves or the elevator falls or a semaphore is broken,G( escalator_moves | elevator_falls | semaphore_is_broken ),{elevator_falls escalator_moves semaphore_is_broken}
"after zkyvpt_nAjlO, it is going to happen that ljVIsf",G(( zkyvpt_nAjlO ) -> F( ljVIsf )),{ljVIsf zkyvpt_nAjlO}
"as a train has arrived and the train is crossing, at a certain moment either the train has been launched or a constructor instantiate objects",G(( train_has_arrived & train_is_crossing ) -> F( train_has_been_launched | constructor_instantiate_objects )),{constructor_instantiate_objects train_has_arrived train_has_been_launched train_is_crossing}
in any case a train derails or a car stops or a sensor captures data,G( train_derails | car_stops | sensor_captures_data ),{car_stops sensor_captures_data train_derails}
"never, both QcIjixGO and FFcoLhtA after either TzrqPu or tYsevpuqFHHQ",G(( TzrqPu | tYsevpuqFHHQ ) -> G(!( QcIjixGO & FFcoLhtA ))),{QcIjixGO TzrqPu coLhtA tYsevpuqFHHQ}
in any case an elevator falls or the table is brown or the sensor gathers information,G( elevator_falls | table_is_brown | sensor_gathers_information ),{elevator_falls sensor_gathers_information table_is_brown}
always when both the brake is pressed and the motorbike catches fire then at some point either the escalator is blocked or the engine stops,G(( brake_is_pressed & motorbike_catches_fire ) -> F( escalator_is_blocked | engine_stops )),{brake_is_pressed engine_stops escalator_is_blocked motorbike_catches_fire}
"after either the semaphore is red or the escalator speeds up, at some point in time either the bridge closes or the elevator is blocked",G(( semaphore_is_red | escalator_speeds_up ) -> F( bridge_closes | elevator_is_blocked )),{bridge_closes elevator_is_blocked escalator_speeds_up semaphore_is_red}
"a sensor captures data and, as a consequence, always when the escalator moves then at some point the elevator falls",G(( sensor_captures_data ) -> G(( escalator_moves ) -> F( elevator_falls ))),{elevator_falls escalator_moves sensor_captures_data}
always when the brake is released or a house collapses then it will happen that either the house collapses or the escalator moves,G(( brake_is_released | house_collapses ) -> F( house_collapses | escalator_moves )),{brake_is_released escalator_moves house_collapses}
always when the brake is pressed and the escalator moves then at some point in time the motorbike catches fire or the sensor gathers information,G(( brake_is_pressed & escalator_moves ) -> F( motorbike_catches_fire | sensor_gathers_information )),{brake_is_pressed escalator_moves motorbike_catches_fire sensor_gathers_information}
it should not happen that _bilzmZImz and tQOKqcYnnhk,G(!( _bilzmZImz & tQOKqcYnnhk )),{_bilzmZImz tQOKqcYnnhk}
every time BaeDOzqzSLe then at a certain moment hIycjQChOiu,G(( BaeDOzqzSLe ) -> F( hIycjQChOiu )),{BaeDOzqzSLe hIycjQChOiu}
at some point in time nyYat or yZGis,F( nyYat | yZGis ),{nyYat yZGis}
whenever the bridge opens and the brake is released then sooner or later the semaphore is yellow and the sensor retrieves data,G(( bridge_opens & brake_is_released ) -> F( semaphore_is_yellow & sensor_retrieves_data )),{brake_is_released bridge_opens semaphore_is_yellow sensor_retrieves_data}
"it is going to happen that either the sensor retrieves data or a table is brown and, in the future both a table is old and the bar has to be repaired afterwards",G(!( sensor_retrieves_data | table_is_brown )) | F(( sensor_retrieves_data | table_is_brown ) & F( table_is_old & bar_has_to_be_repaired )),{bar_has_to_be_repaired sensor_retrieves_data table_is_brown table_is_old}
"first, it will happen that a table is brown and the house is built, and then, at some point both a bridge closes and the elevator falls",G(!( table_is_brown & house_is_built )) | F(( table_is_brown & house_is_built ) & F( bridge_closes & elevator_falls )),{bridge_closes elevator_falls house_is_built table_is_brown}
whenever qwBPmTVZ or APsWH then it is going to happen that lmdTSnR,G(( qwBPmTVZ | APsWH ) -> F( lmdTSnR )),{APsWH lmdTSnR qwBPmTVZ}
"after both a motorbike has started and the bar is down, in the future the bar has to be repaired and a manager collect claims",G(( motorbike_has_started & bar_is_down ) -> F( bar_has_to_be_repaired & manager_collect_claims )),{bar_has_to_be_repaired bar_is_down manager_collect_claims motorbike_has_started}
in any case either QiCMSqQdycm or mEtgsATEhxGf,G( QiCMSqQdycm | mEtgsATEhxGf ),{QiCMSqQdycm mEtgsATEhxGf}
if both the elevator falls and the house is built then it is going to happen that the bar is closing or a motorbike has started,G(( elevator_falls & house_is_built ) -> F( bar_is_closing | motorbike_has_started )),{bar_is_closing elevator_falls house_is_built motorbike_has_started}
"in the future the car stops and, at the same time, the house is built and the semaphore is broken",F( car_stops & house_is_built & semaphore_is_broken ),{car_stops house_is_built semaphore_is_broken}
always when a sensor gathers information or a train derails then at a certain moment both the brake is pressed and a semaphore is broken,G(( sensor_gathers_information | train_derails ) -> F( brake_is_pressed & semaphore_is_broken )),{brake_is_pressed semaphore_is_broken sensor_gathers_information train_derails}
every time either the sensor retrieves data or a car enters then sooner or later either the semaphore is yellow or the engine stops,G(( sensor_retrieves_data | car_enters ) -> F( semaphore_is_yellow | engine_stops )),{car_enters engine_stops semaphore_is_yellow sensor_retrieves_data}
whenever phiQmBlLpLDIOg then at a certain moment tYPKLomZhkcmg or lcKbmWRNUNFBs,G(( phiQmBlLpLDIOg ) -> F( tYPKLomZhkcmg | lcKbmWRNUNFBs )),{lcKbmWRNUNFBs phiQmBlLpLDIOg tYPKLomZhkcmg}
if the car starts and a table is brown then at a certain moment an elevator is blocked and the bar is closing,G(( car_starts & table_is_brown ) -> F( elevator_is_blocked & bar_is_closing )),{bar_is_closing car_starts elevator_is_blocked table_is_brown}
"as either UWWLbMjO or FDwgi, eventually, kMYkJqZAg_OM",G(( UWWLbMjO | FDwgi ) -> F( kMYkJqZAg_OM )),{Dwgi UWWLbMjO kMYkJqZAg_OM}
in any case either HcXaLvhnUiHqgfM or OyZrOUO,G( HcXaLvhnUiHqgfM | OyZrOUO ),{HcXaLvhnUiHqgfM OyZrOUO}
all the time a train is crossing and together the bar is closing and the escalator is blocked,G( train_is_crossing & bar_is_closing & escalator_is_blocked ),{bar_is_closing escalator_is_blocked train_is_crossing}
"all the time the house collapses and, at the same time, a sensor gathers information and the bridge closes",G( house_collapses & sensor_gathers_information & bridge_closes ),{bridge_closes house_collapses sensor_gathers_information}
"at some point both the brake is released and the bar is up and, sooner or later the brake is pressed or a bridge closes afterwards",G(!( brake_is_released & bar_is_up )) | F(( brake_is_released & bar_is_up ) & F( brake_is_pressed | bridge_closes )),{bar_is_up brake_is_pressed brake_is_released bridge_closes}
it will happen that a manager handles requests or the motorbike has started or the train derails,F( manager_handles_requests | motorbike_has_started | train_derails ),{manager_handles_requests motorbike_has_started train_derails}
"as both the brake is released and the escalator speeds up, in the future the bar is down or the house is open",G(( brake_is_released & escalator_speeds_up ) -> F( bar_is_down | house_is_open )),{bar_is_down brake_is_released escalator_speeds_up house_is_open}
it is always the case that both lnKJVSLOPGxiFB and flAsBuG,G( lnKJVSLOPGxiFB & flAsBuG ),{flAsBuG lnKJVSLOPGxiFB}
"first, at a certain moment either the train is crossing or a motorbike has stopped, and then, finally, both the brake is released and the car starts",G(!( train_is_crossing | motorbike_has_stopped )) | F(( train_is_crossing | motorbike_has_stopped ) & F( brake_is_released & car_starts )),{brake_is_released car_starts motorbike_has_stopped train_is_crossing}
"always, the escalator is blocked and together the sensor gathers information and the motorbike falls down",G( escalator_is_blocked & sensor_gathers_information & motorbike_falls_down ),{escalator_is_blocked motorbike_falls_down sensor_gathers_information}
"it should not happen that a train has arrived, an elevator rises and the train stops",G(!( train_has_arrived & elevator_rises & train_stops )),{elevator_rises train_has_arrived train_stops}
"first, at a certain moment the bar is closing and an elevator is blocked, and then, at a certain moment either a sensor retrieves data or the engine starts",G(!( bar_is_closing & elevator_is_blocked )) | F(( bar_is_closing & elevator_is_blocked ) & F( sensor_retrieves_data | engine_starts )),{bar_is_closing elevator_is_blocked engine_starts sensor_retrieves_data}
"it is always true that the semaphore is yellow and, at the same time, the semaphore is broken and a motorbike falls down",G( semaphore_is_yellow & semaphore_is_broken & motorbike_falls_down ),{motorbike_falls_down semaphore_is_broken semaphore_is_yellow}
"first, at some point in time the engine breaks or a semaphore is yellow, and then, at some point in time the manager handles requests or a motorbike has started",G(!( engine_breaks | semaphore_is_yellow )) | F(( engine_breaks | semaphore_is_yellow ) & F( manager_handles_requests | motorbike_has_started )),{engine_breaks manager_handles_requests motorbike_has_started semaphore_is_yellow}
whenever chglBhCwzU then at a certain moment spwDwcQJV or JuhLGgElstFiFN,G(( chglBhCwzU ) -> F( spwDwcQJV | JuhLGgElstFiFN )),{JuhLGgElstFiFN chglBhCwzU spwDwcQJV}
"at any time either the semaphore is yellow, the bridge opens or the manager collect claims",G( semaphore_is_yellow | bridge_opens | manager_collect_claims ),{bridge_opens manager_collect_claims semaphore_is_yellow}
"always, the constructor instantiate objects, a table is old and a motorbike has stopped",G( constructor_instantiate_objects & table_is_old & motorbike_has_stopped ),{constructor_instantiate_objects motorbike_has_stopped table_is_old}
"after the motorbike has stopped or the escalator is blocked, eventually, a manager collect claims and a train has arrived",G(( motorbike_has_stopped | escalator_is_blocked ) -> F( manager_collect_claims & train_has_arrived )),{escalator_is_blocked manager_collect_claims motorbike_has_stopped train_has_arrived}
"after either the car enters or the bar is up, at some point in time both the manager handles requests and a motorbike has stopped",G(( car_enters | bar_is_up ) -> F( manager_handles_requests & motorbike_has_stopped )),{bar_is_up car_enters manager_handles_requests motorbike_has_stopped}
"every time both a semaphore is red and the brake is released then eventually, either the motorbike has stopped or the engine stops",G(( semaphore_is_red & brake_is_released ) -> F( motorbike_has_stopped | engine_stops )),{brake_is_released engine_stops motorbike_has_stopped semaphore_is_red}
it will happen that a train is crossing or a car stops or a motorbike has stopped,F( train_is_crossing | car_stops | motorbike_has_stopped ),{car_stops motorbike_has_stopped train_is_crossing}
"after a constructor creates instances or a motorbike falls down, finally, the table is brown and the bridge closes",G(( constructor_creates_instances | motorbike_falls_down ) -> F( table_is_brown & bridge_closes )),{bridge_closes constructor_creates_instances motorbike_falls_down table_is_brown}
"eternally, a table is old and, at the same time, the constructor instantiate objects and a bridge opens",G( table_is_old & constructor_instantiate_objects & bridge_opens ),{bridge_opens constructor_instantiate_objects table_is_old}
"finally, gtoYe after either zonaoeJQ_MlM or nbKi_",G(( zonaoeJQ_MlM | nbKi_ ) -> F( gtoYe )),{gtoYe nbKi_ zonaoeJQ_MlM}
"it is always true that either a semaphore is broken, the table is old or the bridge closes",G( semaphore_is_broken | table_is_old | bridge_closes ),{bridge_closes semaphore_is_broken table_is_old}
every time the table is brown and the bar is up then it will happen that both a manager handles requests and the bridge opens,G(( table_is_brown & bar_is_up ) -> F( manager_handles_requests & bridge_opens )),{bar_is_up bridge_opens manager_handles_requests table_is_brown}
"whenever dmcZMRkcnWYCO then absolutely never, GIsQzii",G(( dmcZMRkcnWYCO ) -> G(!( GIsQzii ))),{IsQzii dmcZMRkcnWYCO}
it is going to happen that the brake is released or a train derails or the bar has to be repaired,F( brake_is_released | train_derails | bar_has_to_be_repaired ),{bar_has_to_be_repaired brake_is_released train_derails}
if both a semaphore is yellow and the sensor retrieves data then in the future both the engine breaks and the car starts,G(( semaphore_is_yellow & sensor_retrieves_data ) -> F( engine_breaks & car_starts )),{car_starts engine_breaks semaphore_is_yellow sensor_retrieves_data}
"eventually, nqQMfTzSCOr and jpbttcGm and, eventually, QVDJnUldohaNO afterwards",G(!( nqQMfTzSCOr & jpbttcGm )) | F(( nqQMfTzSCOr & jpbttcGm ) & F( QVDJnUldohaNO )),{QVDJnUldohaNO jpbttcGm nqQMfTzSCOr}
"as either a table is brown or the train derails, sooner or later the manager collect claims and a house is built",G(( table_is_brown | train_derails ) -> F( manager_collect_claims & house_is_built )),{house_is_built manager_collect_claims table_is_brown train_derails}
"it will happen that either the motorbike catches fire, a bridge closes or the sensor gathers information",F( motorbike_catches_fire | bridge_closes | sensor_gathers_information ),{bridge_closes motorbike_catches_fire sensor_gathers_information}
"eternally, MbSSdYGHfJzwJi or McDvjkGHqEQvsu or rqUekDRtLtvTFJv",G( MbSSdYGHfJzwJi | McDvjkGHqEQvsu | rqUekDRtLtvTFJv ),{MbSSdYGHfJzwJi McDvjkGHqEQvsu rqUekDRtLtvTFJv}
"at some point PKnVlD and DU_BbktrHYdF and, finally, epILZGXRYgQjTJa and pgZJXhP afterwards",G(!( PKnVlD & DU_BbktrHYdF )) | F(( PKnVlD & DU_BbktrHYdF ) & F( epILZGXRYgQjTJa & pgZJXhP )),{DU_BbktrHYdF PKnVlD epILZGXRYgQjTJa pgZJXhP}
"it never happens that a train derails, the engine breaks and a sensor captures data",G(!( train_derails & engine_breaks & sensor_captures_data )),{engine_breaks sensor_captures_data train_derails}
"all the time either the semaphore is green, the motorbike is driven or a train has been launched",G( semaphore_is_green | motorbike_is_driven | train_has_been_launched ),{motorbike_is_driven semaphore_is_green train_has_been_launched}
"all the time either the train derails, the train has been launched or the manager collect claims",G( train_derails | train_has_been_launched | manager_collect_claims ),{manager_collect_claims train_derails train_has_been_launched}
"at a certain moment either the train has arrived, the engine stops or the elevator is open",F( train_has_arrived | engine_stops | elevator_is_open ),{elevator_is_open engine_stops train_has_arrived}
"it is going to happen that a sensor gathers information and, at the same time, the train has arrived and the train has been launched",F( sensor_gathers_information & train_has_arrived & train_has_been_launched ),{sensor_gathers_information train_has_arrived train_has_been_launched}
"first, at some point in time the car stops or a motorbike has started, and then, at a certain moment the elevator falls and the manager collect claims",G(!( car_stops | motorbike_has_started )) | F(( car_stops | motorbike_has_started ) & F( elevator_falls & manager_collect_claims )),{car_stops elevator_falls manager_collect_claims motorbike_has_started}
"after either the table is old or a train is crossing, finally, both an elevator falls and a house is built",G(( table_is_old | train_is_crossing ) -> F( elevator_falls & house_is_built )),{elevator_falls house_is_built table_is_old train_is_crossing}
"under no circumstances either the train has arrived, the table has been moved or a train derails",G(!( train_has_arrived | table_has_been_moved | train_derails )),{table_has_been_moved train_derails train_has_arrived}
"as both the brake is released and the escalator is blocked, finally, the bar is down and the car starts",G(( brake_is_released & escalator_is_blocked ) -> F( bar_is_down & car_starts )),{bar_is_down brake_is_released car_starts escalator_is_blocked}
all the time the engine breaks or the bar is closing or the bar is down,G( engine_breaks | bar_is_closing | bar_is_down ),{bar_is_closing bar_is_down engine_breaks}
"forever, the elevator is blocked and, at the same time, the brake is released and a train has arrived",G( elevator_is_blocked & brake_is_released & train_has_arrived ),{brake_is_released elevator_is_blocked train_has_arrived}
"after both keQuXOEz_sMw and JbU_FAXtSSDANob, at some point BDtHUIOzVY",G(( keQuXOEz_sMw & JbU_FAXtSSDANob ) -> F( BDtHUIOzVY )),{BDtHUIOzVY JbU_FAXtSSDANob keQuXOEz_sMw}
"eventually, an elevator falls and, at the same time, the train stops and the engine starts",F( elevator_falls & train_stops & engine_starts ),{elevator_falls engine_starts train_stops}
"the train stops and, as a consequence, sooner or later the elevator is blocked after a sensor captures data",G(( train_stops ) -> G(( sensor_captures_data ) -> F( elevator_is_blocked ))),{elevator_is_blocked sensor_captures_data train_stops}
"as LfQPCBJ or zWIlQ, sooner or later WkPxfRg",G(( LfQPCBJ | zWIlQ ) -> F( WkPxfRg )),{LfQPCBJ WkPxfRg zWIlQ}
"at some point the engine starts, the sensor captures data and the manager collect claims",F( engine_starts & sensor_captures_data & manager_collect_claims ),{engine_starts manager_collect_claims sensor_captures_data}
whenever either the train stops or the constructor creates instances then at a certain moment both an elevator is open and the escalator moves,G(( train_stops | constructor_creates_instances ) -> F( elevator_is_open & escalator_moves )),{constructor_creates_instances elevator_is_open escalator_moves train_stops}
"always, both jgifjFmGgdy and TnDDvyHTOEYpm",G( jgifjFmGgdy & TnDDvyHTOEYpm ),{TnDDvyHTOEYpm jgifjFmGgdy}
"as the train is crossing and a semaphore is yellow, at some point a motorbike catches fire and a car enters",G(( train_is_crossing & semaphore_is_yellow ) -> F( motorbike_catches_fire & car_enters )),{car_enters motorbike_catches_fire semaphore_is_yellow train_is_crossing}
if the escalator is blocked and the manager collect claims then it is going to happen that either the manager handles requests or a motorbike catches fire,G(( escalator_is_blocked & manager_collect_claims ) -> F( manager_handles_requests | motorbike_catches_fire )),{escalator_is_blocked manager_collect_claims manager_handles_requests motorbike_catches_fire}
"under no circumstances a table is old and, at the same time, a train derails and an elevator is blocked",G(!( table_is_old & train_derails & elevator_is_blocked )),{elevator_is_blocked table_is_old train_derails}
"it will not happen that the semaphore is green, a manager collect claims and the motorbike is driven",G(!( semaphore_is_green & manager_collect_claims & motorbike_is_driven )),{manager_collect_claims motorbike_is_driven semaphore_is_green}
"as either the manager collect claims or a manager handles requests, it is going to happen that a manager handles requests and the semaphore is broken",G(( manager_collect_claims | manager_handles_requests ) -> F( manager_handles_requests & semaphore_is_broken )),{manager_collect_claims manager_handles_requests semaphore_is_broken}
"after either the bridge closes or the semaphore is green, it will happen that a car enters and a constructor instantiate objects",G(( bridge_closes | semaphore_is_green ) -> F( car_enters & constructor_instantiate_objects )),{bridge_closes car_enters constructor_instantiate_objects semaphore_is_green}
it is always the case that the bar is closing or the engine starts or a sensor gathers information,G( bar_is_closing | engine_starts | sensor_gathers_information ),{bar_is_closing engine_starts sensor_gathers_information}
"forever, either the escalator moves, the escalator is blocked or the train has arrived",G( escalator_moves | escalator_is_blocked | train_has_arrived ),{escalator_is_blocked escalator_moves train_has_arrived}
whenever the sensor captures data and the escalator speeds up then at a certain moment both a train is crossing and the elevator rises,G(( sensor_captures_data & escalator_speeds_up ) -> F( train_is_crossing & elevator_rises )),{elevator_rises escalator_speeds_up sensor_captures_data train_is_crossing}
it will happen that the bar is up or the bar is down or the table is old,F( bar_is_up | bar_is_down | table_is_old ),{bar_is_down bar_is_up table_is_old}
"whenever a motorbike is driven or an elevator is open then finally, either the engine breaks or a bridge closes",G(( motorbike_is_driven | elevator_is_open ) -> F( engine_breaks | bridge_closes )),{bridge_closes elevator_is_open engine_breaks motorbike_is_driven}
"at no time either a table has been moved, the elevator falls or the semaphore is red",G(!( table_has_been_moved | elevator_falls | semaphore_is_red )),{elevator_falls semaphore_is_red table_has_been_moved}
"under no condition the sensor retrieves data, a bridge opens and a train has been launched",G(!( sensor_retrieves_data & bridge_opens & train_has_been_launched )),{bridge_opens sensor_retrieves_data train_has_been_launched}
"it is always true that either isWejkqydXg, hmwtMkZwHun or DoqnvMCRo",G( isWejkqydXg | hmwtMkZwHun | DoqnvMCRo ),{DoqnvMCRo hmwtMkZwHun isWejkqydXg}
"finally, both the train derails and the train is crossing and, at some point the elevator is blocked or the escalator speeds up afterwards",G(!( train_derails & train_is_crossing )) | F(( train_derails & train_is_crossing ) & F( elevator_is_blocked | escalator_speeds_up )),{elevator_is_blocked escalator_speeds_up train_derails train_is_crossing}
"under no condition either the house is open, the engine stops or a motorbike catches fire",G(!( house_is_open | engine_stops | motorbike_catches_fire )),{engine_stops house_is_open motorbike_catches_fire}
"at some point in time a motorbike falls down, a semaphore is green and an elevator is open",F( motorbike_falls_down & semaphore_is_green & elevator_is_open ),{elevator_is_open motorbike_falls_down semaphore_is_green}
"it is always true that a train derails, a semaphore is red and the escalator speeds up",G( train_derails & semaphore_is_red & escalator_speeds_up ),{escalator_speeds_up semaphore_is_red train_derails}
"always, either a table has been moved, a table is brown or the bar is down",G( table_has_been_moved | table_is_brown | bar_is_down ),{bar_is_down table_has_been_moved table_is_brown}
if the table has been moved or the train stops then at some point in time both the constructor instantiate objects and the motorbike has stopped,G(( table_has_been_moved | train_stops ) -> F( constructor_instantiate_objects & motorbike_has_stopped )),{constructor_instantiate_objects motorbike_has_stopped table_has_been_moved train_stops}
"at some point in time ixGkn and, at the same time, ZflwXPonKQPlPwo and zztiyXPirIIMQs",F( ixGkn & ZflwXPonKQPlPwo & zztiyXPirIIMQs ),{ZflwXPonKQPlPwo ixGkn zztiyXPirIIMQs}
it is always the case that the engine stops or a train stops or the bar is down,G( engine_stops | train_stops | bar_is_down ),{bar_is_down engine_stops train_stops}
"it is always true that the bar is up, the train stops and the elevator is blocked",G( bar_is_up & train_stops & elevator_is_blocked ),{bar_is_up elevator_is_blocked train_stops}
"in any case either a train derails, the bar is down or the table is brown",G( train_derails | bar_is_down | table_is_brown ),{bar_is_down table_is_brown train_derails}
if both the escalator is blocked and the semaphore is yellow then it never happens that a bridge opens and a sensor retrieves data,G(( escalator_is_blocked & semaphore_is_yellow ) -> G(!( bridge_opens & sensor_retrieves_data ))),{bridge_opens escalator_is_blocked semaphore_is_yellow sensor_retrieves_data}
at some point in time a semaphore is yellow after both the house is open and a sensor retrieves data,G(( house_is_open & sensor_retrieves_data ) -> F( semaphore_is_yellow )),{house_is_open semaphore_is_yellow sensor_retrieves_data}
"at a certain moment a semaphore is broken, a train is crossing and the brake is pressed",F( semaphore_is_broken & train_is_crossing & brake_is_pressed ),{brake_is_pressed semaphore_is_broken train_is_crossing}
"first, at some point in time either the engine breaks or a car enters, and then, at some point the engine breaks or the manager handles requests",G(!( engine_breaks | car_enters )) | F(( engine_breaks | car_enters ) & F( engine_breaks | manager_handles_requests )),{car_enters engine_breaks manager_handles_requests}
whenever the engine breaks or the train has been launched then at some point a car enters or the bar is up,G(( engine_breaks | train_has_been_launched ) -> F( car_enters | bar_is_up )),{bar_is_up car_enters engine_breaks train_has_been_launched}
whenever a house is open or the brake is released then it will happen that both the train has arrived and the train is crossing,G(( house_is_open | brake_is_released ) -> F( train_has_arrived & train_is_crossing )),{brake_is_released house_is_open train_has_arrived train_is_crossing}
"it is always the case that either the table is old, a bridge closes or the bar has to be repaired",G( table_is_old | bridge_closes | bar_has_to_be_repaired ),{bar_has_to_be_repaired bridge_closes table_is_old}
every time both qgSZNvEb and icsgieYCgvr,G( qgSZNvEb & icsgieYCgvr ),{icsgieYCgvr qgSZNvEb}
"as aVKrcU, at some point eNXksISWLzMtcU",G(( aVKrcU ) -> F( eNXksISWLzMtcU )),{aVKrcU eNXksISWLzMtcU}
at some point in time a bridge opens or the motorbike falls down after a table has been moved or the train stops,G(( table_has_been_moved | train_stops ) -> F( bridge_opens | motorbike_falls_down )),{bridge_opens motorbike_falls_down table_has_been_moved train_stops}
"always, the motorbike is driven and together the bar has to be repaired and the sensor retrieves data",G( motorbike_is_driven & bar_has_to_be_repaired & sensor_retrieves_data ),{bar_has_to_be_repaired motorbike_is_driven sensor_retrieves_data}
