Either record the cyclist on north_3rd_street or photo the jaywalker on northeast_3rd_avenue happens infinitely often.;GF record_cyclist_north_3rd_street | GF photo_jaywalker_northeast_3rd_avenue;['photo_jaywalker_northeast_3rd_avenue', 'record_cyclist_north_3rd_street']
Either pickup the carrot or deliver the horse to the loading_dock happens infinitely often.;GF pickup_carrot | GF deliver_horse_loading_dock;['pickup_carrot', 'deliver_horse_loading_dock']
Either idle or pickup the cow happens infinitely often.;GF idle | GF pickup_cow;['idle', 'pickup_cow']
Either search the hair-drier happens infinitely often, or deliver the backpack to the loading_dock happens in the next step.;GF search_hair_drier | X deliver_backpack_loading_dock;['search_hair_drier', 'deliver_backpack_loading_dock']
Either idle happens infinitely often, or deliver the remote to the shelf happens in the next step.;GF idle | X deliver_remote_shelf;['idle', 'deliver_remote_shelf']
Either photo the pedestrian on northwest_7th_street happens infinitely often, or get_help happens in the next step.;GF photo_pedestrian_northwest_7th_street | X get_help;['get_help', 'photo_pedestrian_northwest_7th_street']
Either communicate the safe_victim happens infinitely often, or photo safe_rescuer happens in the next step.;GF communicate_safe_victim | X photo_safe_rescuer;['communicate_safe_victim', 'photo_safe_rescuer']
Either pickup the baseball_glove happens infinitely often, or idle happensing in the next step.;GF pickup_baseball_glove | X idle;['idle', 'pickup_baseball_glove']
Either deliver_aid the injured_rescuer happens infinitely often, or communicate the safe_victim happens in the next step.;GF deliver_aid_injured_rescuer | X communicate_safe_victim;['communicate_safe_victim', 'deliver_aid_injured_rescuer']
Either avoid the nearest_gas_leak happens infinitely often, or get_help happens in the next step.;GF avoid_nearest_gas_leak | X get_help;['get_help', 'avoid_nearest_gas_leak']
Either record the pedestrian on east_10th_street happens infinitely often, or record the jaywalker on southwest_4th_avenue happens in the next step.;GF record_pedestrian_east_10th_street | X record_jaywalker_southwest_4th_avenue;['record_jaywalker_southwest_4th_avenue', 'record_pedestrian_east_10th_street']
Either get_help happens infinitely often, or change light_north yellow happens in the next step.;GF get_help | X change_light_north_yellow;['get_help', 'change_light_north_yellow']
Either get_help happens infinitely often, or photo the jaywalker on northwest_4th_avenue happens in the next step.;GF get_help | X photo_jaywalker_northwest_4th_avenue;['get_help', 'photo_jaywalker_northwest_4th_avenue']
Either idle happens infinitely often, or search the motorbike happens in the next step.;GF idle | X search_motorbike;['idle', 'search_motorbike']
Either deliver the parking_meter to the shelf happens infinitely often, or pickup the baseball_glove happens in the next step.;GF deliver_parking_meter_shelf | X pickup_baseball_glove;['pickup_baseball_glove', 'deliver_parking_meter_shelf']
Photograph the pedestrian on northeast_7th_avenue holds at all times.;G photo_pedestrian_northeast_7th_avenue;['photo_pedestrian_northeast_7th_avenue']
Take a picture of the motorcycle on east_9th_street holds at all times.;G photo_motorcycle_east_9th_street;['photo_motorcycle_east_9th_street']
Communicate with the injured_rescuer holds at all times.;G communicate_injured_rescuer;['communicate_injured_rescuer']
Update light_south red holds at all times.;G change_light_south_red;['change_light_south_red']
Idle holds at all times.;G idle;['idle']
Record safe_civilian holds at all times.;G record_safe_civilian;['record_safe_civilian']
Take a picture of the collision on northwest_1st_avenue holds at all times.;G photo_collision_northwest_1st_avenue;['photo_collision_northwest_1st_avenue']
Switch light_south yellow holds at all times.;G change_light_south_yellow;['change_light_south_yellow']
Take a video of the jaywalker on southwest_2nd_avenue holds at all times.;G record_jaywalker_southwest_2nd_avenue;['record_jaywalker_southwest_2nd_avenue']
Take a photo of the vehicle on north_2nd_street holds at all times.;G photo_vehicle_north_2nd_street;['photo_vehicle_north_2nd_street']
Retrieve the fire_hydrant holds at all times.;G pickup_fire_hydrant;['pickup_fire_hydrant']
Begin recording the vehicle on west_6th_avenue holds at all times.;G record_vehicle_west_6th_avenue;['record_vehicle_west_6th_avenue']
If record the cyclist on southwest_6th_street holds, then in the next step change light_south yellow persists until calling for help holds, or else change light_south yellow holds forever.;record_cyclist_southwest_6th_street -> X((change_light_south_yellow U get_help) | G change_light_south_yellow);['get_help', 'change_light_south_yellow', 'record_cyclist_southwest_6th_street']
If get_help holds, then in the next step search the tv_monitor persists until searching for the refrigerator holds, or else search the tv_monitor holds forever.;get_help -> X((search_tv_monitor U search_refrigerator) | G search_tv_monitor);['get_help', 'search_tv_monitor', 'search_refrigerator']
If get_help holds, then in the next step search the sheep persists until idleing holds, or else search the sheep holds forever.;get_help -> X((search_sheep U idle) | G search_sheep);['get_help', 'idle', 'search_sheep']
If get_help holds, then in the next step deliver_aid the injured_rescuer persists until going home holds, or else deliver_aid the injured_rescuer holds forever.;get_help -> X((deliver_aid_injured_rescuer U go_home) | G deliver_aid_injured_rescuer);['get_help', 'go_home', 'deliver_aid_injured_rescuer']
If deliver the fork to the loading_dock holds, then in the next step idle persists until searching for the umbrella holds, or else idle holds forever.;deliver_fork_loading_dock -> X((idle U search_umbrella) | G idle);['idle', 'deliver_fork_loading_dock', 'search_umbrella']
If record the motorcycle on south_2nd_street holds, then in the next step photo the motorcycle on south_3rd_avenue persists until begining recording the collision on northwest_9th_street holds, or else photo the motorcycle on south_3rd_avenue holds forever.;record_motorcycle_south_2nd_street -> X((photo_motorcycle_south_3rd_avenue U record_collision_northwest_9th_street) | G photo_motorcycle_south_3rd_avenue);['record_motorcycle_south_2nd_street', 'photo_motorcycle_south_3rd_avenue', 'record_collision_northwest_9th_street']
If search the chair holds, then in the next step deliver the tv_monitor to the loading_dock persists until handing over the cat to the loading_dock holds, or else deliver the tv_monitor to the loading_dock holds forever.;search_chair -> X((deliver_tv_monitor_loading_dock U deliver_cat_loading_dock) | G deliver_tv_monitor_loading_dock);['search_chair', 'deliver_tv_monitor_loading_dock', 'deliver_cat_loading_dock']
If get_help holds, then in the next step record the motorcycle on north_2nd_street persists until change light_west green holds, or else record the motorcycle on north_2nd_street holds forever.;get_help -> X((record_motorcycle_north_2nd_street U change_light_west_green) | G record_motorcycle_north_2nd_street);['get_help', 'change_light_west_green', 'record_motorcycle_north_2nd_street']
If communicate the injured_hostile holds, then in the next step record unsafe_person persists until photo unsafe_civilian holds, or else record unsafe_person holds forever.;communicate_injured_hostile -> X((record_unsafe_person U photo_unsafe_civilian) | G record_unsafe_person);['record_unsafe_person', 'communicate_injured_hostile', 'photo_unsafe_civilian']
If record flood holds, then in the next step avoid the probable_debris persists until talking to the safe_hostile holds, or else avoid the probable_debris holds forever.;record_flood -> X((avoid_probable_debris U communicate_safe_hostile) | G avoid_probable_debris);['communicate_safe_hostile', 'record_flood', 'avoid_probable_debris']
If search the tv_monitor holds, then in the next step pickup the cup persists until geting help holds, or else pickup the cup holds forever.;search_tv_monitor -> X((pickup_cup U get_help) | G pickup_cup);['get_help', 'search_tv_monitor', 'pickup_cup']
If deliver the hair-drier to the loading_dock holds, then in the next step get_help persists until searching the tie holds, or else get_help holds forever.;deliver_hair_drier_loading_dock -> X((get_help U search_tie) | G get_help);['get_help', 'search_tie', 'deliver_hair_drier_loading_dock']
Pick up the clock must keep holding until, from some point on, search the remote holds infinitely often.;pickup_clock U GF search_remote;['pickup_clock', 'search_remote']
The robot must avoid the inactive_unstable_beam must keep holding until, from some point on, photo unsafe_victim holds infinitely often.;avoid_inactive_unstable_beam U GF photo_unsafe_victim;['avoid_inactive_unstable_beam', 'photo_unsafe_victim']
Photograph the motorcycle on northwest_8th_avenue must keep holding until, from some point on, photo the motorcycle on west_4th_street holds infinitely often.;photo_motorcycle_northwest_8th_avenue U GF photo_motorcycle_west_4th_street;['photo_motorcycle_northwest_8th_avenue', 'photo_motorcycle_west_4th_street']
Establish communication with the injured_hostile must keep holding until, from some point on, go_home holds infinitely often.;communicate_injured_hostile U GF go_home;['go_home', 'communicate_injured_hostile']
Record unsafe_rescuer must keep holding until, from some point on, avoid the probable_unstable_beam holds infinitely often.;record_unsafe_rescuer U GF avoid_probable_unstable_beam;['avoid_probable_unstable_beam', 'record_unsafe_rescuer']
Take a video of flood must keep holding until, from some point on, get_help holds infinitely often.;record_flood U GF get_help;['get_help', 'record_flood']
Give aid to the injured_hostile must keep holding until, from some point on, communicate the injured_hostile holds infinitely often.;deliver_aid_injured_hostile U GF communicate_injured_hostile;['deliver_aid_injured_hostile', 'communicate_injured_hostile']
Call for help must keep holding until, from some point on, go_home holds infinitely often.;get_help U GF go_home;['get_help', 'go_home']
Take a video of unsafe_rescuer must keep holding until, from some point on, photo injured_civilian holds infinitely often.;record_unsafe_rescuer U GF photo_injured_civilian;['photo_injured_civilian', 'record_unsafe_rescuer']
Photograph the pedestrian on west_6th_street must keep holding until, from some point on, change light_south yellow holds infinitely often.;photo_pedestrian_west_6th_street U GF change_light_south_yellow;['change_light_south_yellow', 'photo_pedestrian_west_6th_street']
Get help must keep holding until, from some point on, avoid the nearest_flood holds infinitely often.;get_help U GF avoid_nearest_flood;['get_help', 'avoid_nearest_flood']
Pick up the laptop must keep holding until, from some point on, deliver the dog to the loading_dock holds infinitely often.;pickup_laptop U GF deliver_dog_loading_dock;['deliver_dog_loading_dock', 'pickup_laptop']
Our agent must Please change light_south green and then get_help.;change_light_south_green U get_help;['get_help', 'change_light_south_green']
In this task, photo the car on west_2nd_street, then record the pedestrian on west_4th_avenue.;photo_car_west_2nd_street U record_pedestrian_west_4th_avenue;['photo_car_west_2nd_street', 'record_pedestrian_west_4th_avenue']
The system must Please record the person on north_7th_avenue and then get_help.;record_person_north_7th_avenue U get_help;['get_help', 'record_person_north_7th_avenue']
In this task, change light_west green, then get_help.;change_light_west_green U get_help;['get_help', 'change_light_west_green']
The system must Please photo the cyclist on southwest_10th_avenue and then record the jaywalker on southwest_6th_street.;photo_cyclist_southwest_10th_avenue U record_jaywalker_southwest_6th_street;['photo_cyclist_southwest_10th_avenue', 'record_jaywalker_southwest_6th_street']
The system must Please pickup the microwave and then search the boat.;pickup_microwave U search_boat;['pickup_microwave', 'search_boat']
Our agent must Please get_help and then deliver the bottle to the shelf.;get_help U deliver_bottle_shelf;['get_help', 'deliver_bottle_shelf']
The robot must Please change light_west red and then photo the pedestrian on southeast_4th_street.;change_light_west_red U photo_pedestrian_southeast_4th_street;['change_light_west_red', 'photo_pedestrian_southeast_4th_street']
You must Please photo the car on southwest_1st_street and then get_help.;photo_car_southwest_1st_street U get_help;['get_help', 'photo_car_southwest_1st_street']
This controller must Please change light_west red and then get_help.;change_light_west_red U get_help;['get_help', 'change_light_west_red']
In this task, deliver_aid the safe_hostile, then get_help.;deliver_aid_safe_hostile U get_help;['get_help', 'deliver_aid_safe_hostile']
In this task, get_help, then pickup the sports_ball.;get_help U pickup_sports_ball;['get_help', 'pickup_sports_ball']
